architecture,eligibility,expected_behavior,extraction_timestamp,extraction_version,injected_condition,invariant,observed_behavior,passed,scenario,source_artifact_digest,source_relative_path,source_row_event_identifier,strategy,treatment
A2,control,"{'accepted': False, 'code': 'signature_invalid', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",2026-08-01T00:00:00Z,paper-evidence-v1,invalid_signature,receiver-local authority,"{'accepted': False, 'code': 'signature_invalid', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,invalid_signature,containment-first,negative-control
A2,control,"{'accepted': False, 'code': 'receipt_unknown', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",2026-08-01T00:00:00Z,paper-evidence-v1,wrong_receipt,receiver-local authority,"{'accepted': False, 'code': 'receipt_unknown', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,wrong_receipt,containment-first,negative-control
A2,control,"{'accepted': False, 'code': 'expired', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",2026-08-01T00:00:00Z,paper-evidence-v1,expired_context,receiver-local authority,"{'accepted': False, 'code': 'expired', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,expired_context,containment-first,negative-control
A2,control,"{'accepted': False, 'code': 'context_replayed', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",2026-08-01T00:00:00Z,paper-evidence-v1,replayed_context,receiver-local authority,"{'accepted': False, 'code': 'context_replayed', 'observation_id': 'ff5db0d5f7c208a37c81b802c02dc5b6', 'restriction_created': False}",True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,replayed_context,containment-first,negative-control
A2,control,first harmful call was not blocked before receiver-local detection,2026-08-01T00:00:00Z,paper-evidence-v1,local_policy_monitor_only,receiver-local authority,first harmful call was not blocked before receiver-local detection,True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,local_policy_monitor_only,containment-first,negative-control
A2,control,reject or preserve local authority,2026-08-01T00:00:00Z,paper-evidence-v1,no_remote_enforcement,receiver-local authority,passed,True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,no_remote_enforcement,containment-first,negative-control
A2,control,reject or preserve local authority,2026-08-01T00:00:00Z,paper-evidence-v1,gateway_cache_disabled,receiver-local authority,passed,True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,gateway_cache_disabled,containment-first,negative-control
A2,control,reject or preserve local authority,2026-08-01T00:00:00Z,paper-evidence-v1,remote_tcx_action_not_interpreted,receiver-local authority,passed,True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,remote_tcx_action_not_interpreted,containment-first,negative-control
A2,control,unknown origin cannot pass the signed-observation trust check; no restriction is created,2026-08-01T00:00:00Z,paper-evidence-v1,unknown_peer,receiver-local authority,unknown origin cannot pass the signed-observation trust check; no restriction is created,True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,unknown_peer,containment-first,negative-control
A2,control,only receipt-correlated witness context reaches the receiver-local evaluator,2026-08-01T00:00:00Z,paper-evidence-v1,disallowed_import_type,receiver-local authority,only receipt-correlated witness context reaches the receiver-local evaluator,True,agent-gateway,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/negative-controls.json,disallowed_import_type,containment-first,negative-control
